Fund_ID,Fund_Name,Ticker,Asset_Manager,Fund_Type,Inception_Date,Category_Group,Primary_Sector,Geographic_Focus,Fund_Net_Assets_USD_M,Tariff_Risk_Level,Tariff_Risk_Score,Import_Exposure_Pct,Export_Exposure_Pct,China_Exposure_Pct,EU_Exposure_Pct,Supply_Chain_Vulnerability_Score,Retaliatory_Tariff_Risk,Trade_War_Resilience_Score,Return_1M_Pct,Return_3M_Pct,Return_6M_Pct,Return_1Y_Pct,Return_3Y_Annualized_Pct,Return_5Y_Annualized_Pct,Return_YTD_Pct,Return_Since_Inception_Annualized_Pct,Volatility_1Y_Pct,Max_Drawdown_Pct,Sharpe_Ratio,Beta_vs_Market,Portfolio_Concentration_Index,Expense_Ratio_Pct,Portfolio_Turnover_Pct,Number_of_Holdings,Average_Market_Cap_USD_B,Percent_Holdings_Rated,Return_During_Tariff_Episodes_Pct,Drawdown_During_Tariff_Episodes_Pct,Holdings_with_Tariff_Hedges_Pct,Holdings_in_Near_Shoring_Beneficiaries_Pct,Holdings_with_Diversified_Supply_Chain_Pct,Data_As_Of_Date,Tariff_Risk_Category,Resilience_Quartile,AUM_Bucket,Return_1Y_Z,Volatility_1Y_Z,Risk_Return_Score,Tariff_Resilience_Interaction
FND_0166,Merrill Lynch Sector Financials Fund,MLF66,Merrill Lynch,Mutual Fund,1982-02-26,Sector Equity,Financials,Australia,23505.54,Low,8.48,6.14,6.89,13.2,15.33,25.99,Low,79.26,1.15,3.34,3.22,27.78,30.01,29.17,6.84,27.23,6.47,7.2,4.3,0.86,0.75,0.13,46.55,98,7.91,89.17,5.63,-7.26,73.21,37.62,67.37,2024-12-13,Low,Q4_High,Small,1.2562209444589454,-1.6622560342198007,2.918476978678746,672.1248
FND_0079,Janus Henderson Sector Financials Fund,JHF79,Janus Henderson,Mutual Fund,2019-08-22,Income,Financials,Asia-Pacific,19928.49,Low,10.46,11.11,20.06,0.0,17.95,19.18,Low,83.44,0.05,5.31,7.26,27.23,29.41,28.59,13.51,26.68,16.81,18.28,1.62,0.72,0.27,0.31,43.11,220,226.66,84.31,7.28,-5.8,71.63,41.17,70.92,2024-12-13,Low,Q4_High,Small,1.2152293502059894,0.0777447142953575,1.1374846359106319,872.7824
FND_0072,Vanguard US Energy Fund,VE72,Vanguard,Mutual Fund,2003-03-02,Sector Equity,Energy,Middle East,283412.81,Low,10.92,9.59,21.65,1.97,0.0,23.71,Low,80.13,3.28,-0.61,16.45,26.9,29.05,28.24,7.29,26.36,18.13,32.98,1.48,1.14,0.3,0.49,5.59,192,27.41,85.51,0.04,-6.96,71.26,38.36,68.11,2024-12-13,Low,Q4_High,Mid,1.1906343936542159,0.2998724694249522,0.8907619242292637,875.0196
FND_0127,Invesco Global Fund,IU27,Invesco,Mutual Fund,2015-05-12,Value,Utilities,Europe,234828.7,Low,11.2,10.57,0.0,23.25,6.29,29.95,Low,75.68,0.63,6.75,17.51,26.56,28.69,27.89,14.42,26.03,17.8,28.47,1.49,1.08,0.3,1.02,48.9,58,30.36,92.14,0.45,-8.51,71.04,34.58,64.33,2024-12-13,Low,Q4_High,Mid,1.1652941353887525,0.24434053064255384,0.9209536047461986,847.616
FND_0163,UBS Emerging Markets Utilities,UU63,UBS,ETF,2020-12-06,Sector Equity,Utilities,US,28772.11,Low,10.79,6.66,8.83,18.26,15.06,32.07,Low,74.31,-0.82,-3.29,8.37,26.34,28.44,27.65,22.05,25.81,14.89,39.54,1.77,0.62,0.54,0.71,71.46,520,17.95,93.12,6.41,-8.99,71.37,33.42,63.17,2024-12-13,Low,Q4_High,Small,1.14889749768757,-0.2453502022567799,1.39424769994435,801.8049
FND_0052,Vanguard AQR Index Fund,AU52,AQR,ETF,1988-09-08,Income,Utilities,Japan,267488.96,Low,18.46,20.41,16.84,17.5,15.11,18.86,Low,81.26,3.62,5.56,11.05,26.12,28.21,27.43,16.35,25.6,17.82,29.54,1.47,0.98,0.36,0.6,70.34,353,137.86,93.01,3.09,-6.56,65.23,39.32,69.07,2024-12-13,Low,Q4_High,Mid,1.132500859986388,0.24770610268997187,0.8847947572964161,1500.0596000000003
FND_0239,Vanguard Core Real Estate Fund,VR39,Vanguard,Mutual Fund,1984-08-26,Sector Equity,Real Estate,Emerging Markets,31022.76,Low,8.06,8.46,8.65,6.95,0.0,8.82,Low,91.41,-2.18,4.48,0.36,26.08,28.17,27.39,22.26,25.56,21.01,23.78,1.24,0.3,0.75,0.67,21.07,538,116.04,83.1,-1.1,-3.01,73.55,47.95,77.7,2024-12-13,Low,Q4_High,Small,1.1295196531316274,0.7845148442531592,0.3450048088784682,736.7646
FND_0285,Dodge & Cox Global Energy ETF,D&E85,Dodge & Cox,ETF,2002-06-30,Equity,Energy,Japan,276495.03,Low,14.47,6.89,39.05,0.0,4.95,39.34,Low,68.12,2.1,3.88,4.36,23.86,25.77,25.05,10.33,23.38,17.22,17.37,1.39,1.05,0.42,0.85,34.54,105,65.87,91.21,8.7,-11.16,68.42,28.15,57.9,2024-12-13,Low,Q4_High,Mid,0.9640626726924242,0.1467389412674286,0.8173237314249956,985.6964000000002
FND_0093,Goldman Sachs Utilities Growth Fund,GSU93,Goldman Sachs,Mutual Fund,1990-11-09,Sector Equity,Utilities,Global,38502.74,Low,15.34,19.69,0.0,24.88,16.28,41.8,Low,66.14,-0.57,3.27,3.61,21.66,23.4,22.75,11.72,21.23,20.76,23.36,1.04,0.43,0.31,0.06,45.91,319,228.04,98.58,3.21,-11.85,67.73,26.47,56.22,2024-12-13,Low,Q4_High,Small,0.8000962956806013,0.7424451936604329,0.05765110202016832,1014.5876
FND_0033,Bank of America Active Energy Fund,BOE33,Bank of America,Mutual Fund,1983-07-28,Growth,Energy,Middle East,25890.38,Low,12.71,18.04,15.94,2.37,9.23,21.2,Low,81.35,1.22,3.77,4.71,21.31,23.01,22.37,10.18,20.88,23.51,25.67,0.91,1.17,0.31,0.44,38.34,144,616.3,93.98,2.9,-6.53,69.83,39.4,69.15,2024-12-13,Low,Q4_High,Small,0.7740107357014474,1.2052113501804218,-0.4312006144789744,1033.9585
FND_0295,JPMorgan Global Fund,JU95,JPMorgan,Mutual Fund,1990-06-15,Growth,Utilities,China,10053.09,Low,13.66,17.82,14.77,6.99,17.64,8.27,Low,90.11,-2.34,0.33,15.59,21.18,22.87,22.24,9.21,20.75,19.32,28.49,1.1,0.54,0.75,0.31,9.69,103,58.81,91.7,3.87,-3.46,69.08,46.85,76.6,2024-12-13,Low,Q4_High,Small,0.7643218134234762,0.5001240062463295,0.2641978071771467,1230.9026
FND_0108,WisdomTree Real Estate Index Fund,WR8,WisdomTree,ETF,1993-09-06,Equity,Real Estate,India,73124.4,Low,6.02,7.46,10.13,0.0,10.9,27.13,Low,79.2,5.55,3.18,4.33,21.06,22.75,22.11,12.69,20.64,14.9,41.65,1.41,0.15,0.54,0.55,42.15,344,357.63,90.02,3.26,-7.28,75.18,37.57,67.32,2024-12-13,Low,Q4_High,Mid,0.7553781928591948,-0.2436674162330709,0.9990456090922657,476.784
FND_0267,Vanguard Strategic Financials Fund,VF67,Vanguard,Mutual Fund,2019-05-03,Balanced,Financials,Middle East,67930.15,Low,8.87,0.0,7.55,22.03,5.42,12.51,Low,88.58,2.5,3.13,-2.11,19.73,21.31,20.71,5.29,19.33,13.64,16.46,1.45,0.52,0.54,0.66,49.04,90,31.19,91.47,-2.45,-4.0,72.9,45.54,75.29,2024-12-13,Low,Q4_High,Mid,0.6562530649384111,-0.45569845522041125,1.1119515201588224,785.7045999999999
