Fund_ID,Fund_Name,Ticker,Asset_Manager,Fund_Type,Inception_Date,Category_Group,Primary_Sector,Geographic_Focus,Fund_Net_Assets_USD_M,Tariff_Risk_Level,Tariff_Risk_Score,Import_Exposure_Pct,Export_Exposure_Pct,China_Exposure_Pct,EU_Exposure_Pct,Supply_Chain_Vulnerability_Score,Retaliatory_Tariff_Risk,Trade_War_Resilience_Score,Return_1M_Pct,Return_3M_Pct,Return_6M_Pct,Return_1Y_Pct,Return_3Y_Annualized_Pct,Return_5Y_Annualized_Pct,Return_YTD_Pct,Return_Since_Inception_Annualized_Pct,Volatility_1Y_Pct,Max_Drawdown_Pct,Sharpe_Ratio,Beta_vs_Market,Portfolio_Concentration_Index,Expense_Ratio_Pct,Portfolio_Turnover_Pct,Number_of_Holdings,Average_Market_Cap_USD_B,Percent_Holdings_Rated,Return_During_Tariff_Episodes_Pct,Drawdown_During_Tariff_Episodes_Pct,Holdings_with_Tariff_Hedges_Pct,Holdings_in_Near_Shoring_Beneficiaries_Pct,Holdings_with_Diversified_Supply_Chain_Pct,Data_As_Of_Date,Tariff_Risk_Category,Resilience_Quartile,AUM_Bucket,Return_1Y_Z,Volatility_1Y_Z,Risk_Return_Score,Tariff_Resilience_Interaction
FND_0011,Merrill Lynch Sector Metals & Mining Fund,MLM11,Merrill Lynch,ETF,1997-09-05,Income,Metals & Mining,Emerging Markets,43541.74,Medium,63.26,59.8,55.54,75.6,62.23,70.66,Medium,31.56,-3.67,4.59,-7.16,-6.76,-7.3,-7.09,19.66,-6.62,7.38,33.83,-0.91,1.17,0.79,0.47,19.76,80,1286.42,85.73,-4.46,-23.95,29.39,0.0,26.82,2024-12-13,Medium,Q2_Mid,Small,-1.3180511746266763,-1.509122506062277,0.19107133143560073,1996.4855999999997
FND_0012,Fidelity Active Utilities Fund,FU12,Fidelity,Mutual Fund,2014-12-23,Sector Equity,Utilities,Europe,3703224.6,Low,10.51,7.91,17.68,6.79,7.0,17.67,Low,84.48,1.68,13.1,0.49,5.3,5.73,5.57,29.24,5.2,8.15,41.91,0.65,0.7,0.85,0.21,0.0,147,53.0,94.29,5.9,-5.43,71.59,42.06,71.81,2024-12-13,Low,Q4_High,Large,-0.41921730791641004,-1.37954798223668,0.96033067432027,887.8848
FND_0013,Invesco Active Financials Fund,IF13,Invesco,ETF,2004-11-17,Income,Financials,China,584828.59,Low,5.74,0.0,11.83,7.28,1.48,25.59,Low,80.36,-0.5,5.74,13.23,17.01,18.37,17.86,-0.34,16.67,3.44,26.2,4.95,1.05,0.61,1.13,40.35,45,101.59,80.53,2.76,-6.87,75.41,38.56,68.31,2024-12-13,Low,Q4_High,Large,0.45353099881470266,-2.172140199403643,2.625671198218346,461.26640000000003
FND_0014,iShares Guggenheim Communications ETF,GC14,Guggenheim,Mutual Fund,1990-11-18,Sector Equity,Communications,North America,9317.83,Medium,31.23,29.63,25.85,38.74,27.1,48.58,Low,56.63,3.38,9.54,8.53,0.48,0.52,0.51,15.81,0.47,10.7,28.99,0.05,0.85,0.19,0.84,1.11,447,526.45,85.21,-0.68,-15.18,55.02,18.38,48.13,2024-12-13,Medium,Q3_Mid,Small,-0.7784527339150404,-0.9504375461908723,0.17198481227583184,1768.5549
FND_0015,WisdomTree US Diversified Fund,WD15,WisdomTree,Mutual Fund,2020-06-19,Sector Equity,Diversified,Latin America,240220.39,Medium,35.81,29.96,35.01,44.41,14.32,35.7,Low,64.27,0.25,1.78,1.71,-6.42,-6.94,-6.74,29.12,-6.29,22.97,6.47,-0.28,0.85,0.82,0.45,53.27,371,39.43,81.07,-1.93,-12.51,51.35,24.88,54.63,2024-12-13,Medium,Q3_Mid,Mid,-1.2927109163612127,1.1143409049001327,-2.407051821261345,2301.5087
FND_0016,Janus Henderson Emerging Markets Materials,JHM16,Janus Henderson,Mutual Fund,1994-06-29,Growth,Materials,China,85993.25,High,66.54,78.52,45.66,71.43,54.64,70.43,Medium,30.74,-0.18,4.04,-4.14,22.81,24.64,23.95,-4.07,22.36,11.81,22.09,1.93,0.27,0.66,0.73,45.35,282,408.09,96.77,2.99,-24.24,26.77,0.0,26.13,2024-12-13,High,Q2_Mid,Mid,0.8858059927549632,-0.7636482975591675,1.6494542903141307,2045.4396000000002
FND_0017,Merrill Lynch Global Real Estate ETF,MLR17,Merrill Lynch,Mutual Fund,1982-07-17,Equity,Real Estate,Australia,33839.19,Low,4.13,2.25,3.29,7.49,16.8,24.86,Low,81.36,-5.15,3.31,12.88,10.24,11.06,10.75,14.74,10.04,9.98,22.19,1.03,0.9,0.28,0.63,68.32,219,41.38,81.66,4.21,-6.53,76.69,39.4,69.15,2024-12-13,Low,Q4_High,Small,-0.05103826135349831,-1.0715981398979237,1.0205598785444254,336.0168
FND_0018,Fidelity Global Agriculture ETF,FA18,Fidelity,ETF,1996-07-17,Equity,Agriculture,Global,112925.94,Medium,62.11,45.43,88.21,58.25,46.54,82.88,Medium,23.35,-3.78,4.63,10.0,33.42,36.09,35.09,19.71,32.75,15.33,12.24,2.18,0.49,0.66,0.01,55.82,70,9.11,85.2,-0.9,-26.83,30.31,0.0,19.85,2024-12-13,Medium,Q1_Low,Mid,1.6765711109801646,-0.17130761721358176,1.8478787281937463,1450.2685000000001
FND_0019,Bank of America Consumer Staples Growth Fund,BOC19,Bank of America,ETF,1983-12-31,Growth,Consumer Staples,Latin America,247729.33,Medium,32.6,30.94,31.81,35.6,13.94,39.41,Low,62.63,5.78,7.16,11.69,9.6,10.36,10.08,-3.51,9.4,9.42,18.59,1.02,0.97,0.57,0.01,7.47,414,120.66,95.0,1.0,-13.08,53.92,23.49,53.24,2024-12-13,Medium,Q3_Mid,Mid,-0.09873757102966504,-1.1658341572256308,1.0670965861959658,2041.7380000000003
FND_0020,Merrill Lynch Global Industrials ETF,MLI20,Merrill Lynch,ETF,1983-06-06,Sector Equity,Industrials,Global,810268.63,Medium,53.02,54.9,44.75,58.77,31.02,66.63,Medium,37.45,-1.41,6.09,13.41,17.0,18.36,17.85,-7.59,16.66,15.99,26.26,1.06,1.45,0.6,0.25,40.34,332,400.43,88.41,-3.11,-21.89,37.59,2.09,31.84,2024-12-13,Medium,Q2_Mid,Large,0.45278569710101246,-0.0602437396487844,0.5130294367497968,1985.5990000000002
FND_0021,Janus Henderson Metals & Mining Growth Fund,JHM21,Janus Henderson,ETF,2000-02-15,Value,Metals & Mining,Japan,141427.15,Medium,58.97,58.53,48.69,69.84,53.74,88.02,Medium,20.69,0.81,10.25,0.31,18.86,20.37,19.8,15.6,18.48,7.72,39.03,2.44,0.98,0.57,0.01,27.77,72,69.03,82.58,-2.35,-27.76,32.82,0.0,17.59,2024-12-13,Medium,Q1_Low,Mid,0.5914118158473719,-1.4519077812561694,2.043319597103541,1220.0893
FND_0022,Guggenheim Sector Industrials Fund,GI22,Guggenheim,Mutual Fund,1999-10-28,Growth,Industrials,India,3102312.03,Medium,57.41,52.7,57.98,63.12,41.74,72.12,Medium,32.29,5.91,2.11,-2.58,-3.58,-3.86,-3.75,10.42,-3.5,12.98,11.55,-0.28,0.92,0.17,1.28,49.65,107,56.68,86.6,-3.61,-23.7,34.07,0.0,27.45,2024-12-13,Medium,Q2_Mid,Large,-1.081045229673223,-0.5667623327852086,-0.5142828968880143,1853.7688999999998
FND_0023,T. Rowe Price Healthcare Index Fund,TRH23,T. Rowe Price,Mutual Fund,1985-05-30,Income,Healthcare,Asia-Pacific,484226.32,Medium,32.57,31.43,25.29,41.4,20.55,56.15,Low,50.92,-2.56,3.34,-0.13,10.58,11.42,11.11,2.97,10.36,17.51,18.0,0.6,0.73,0.77,0.04,0.0,221,32.28,80.4,1.32,-17.18,53.94,13.53,43.28,2024-12-13,Medium,Q3_Mid,Large,-0.02569800308803476,0.19553973595499152,-0.2212377390430263,1658.4644
FND_0024,AQR Diversified Growth Fund,AD24,AQR,ETF,1990-06-09,Growth,Diversified,Europe,539829.3,Low,24.42,25.45,10.59,36.87,17.62,67.38,Low,45.51,0.48,-7.25,11.58,32.35,34.94,33.97,11.45,31.71,28.51,8.09,1.13,0.3,0.85,0.35,0.0,344,163.45,99.73,4.14,-19.07,60.46,8.93,38.68,2024-12-13,Medium,Q3_Mid,Large,1.5968238276153233,2.0466043620349472,-0.44978053441962396,1111.3542
FND_0025,UBS Active Machinery Fund,UM25,UBS,ETF,2004-11-23,Value,Machinery,Global,242100.95,High,67.72,76.36,51.4,72.53,48.65,60.03,Medium,37.66,2.19,0.29,11.32,39.75,42.93,41.74,21.06,38.96,18.97,15.59,2.1,0.71,0.37,0.38,33.46,168,63.08,91.88,3.48,-21.82,25.82,2.26,32.01,2024-12-13,High,Q2_Mid,Mid,2.1483470957460007,0.44122649541651243,1.7071206003294883,2550.3351999999995
FND_0026,Vanguard Core Chemicals Fund,VC26,Vanguard,Mutual Fund,1980-03-18,Balanced,Chemicals,Africa,51444.65,Medium,61.57,61.17,42.21,81.47,23.84,61.74,Medium,38.31,3.18,1.53,14.41,13.02,14.06,13.67,5.92,12.76,18.93,6.2,0.69,0.96,0.52,0.66,22.04,34,54.55,84.71,-2.94,-21.59,30.74,2.81,32.56,2024-12-13,Medium,Q2_Mid,Small,0.15615561505235073,0.4344953513216764,-0.2783397362693256,2358.7467
FND_0027,Merrill Lynch Healthcare Index Fund,MLH27,Merrill Lynch,ETF,1986-01-13,Growth,Healthcare,Global,600758.27,Low,16.57,13.7,16.94,20.03,17.19,50.15,Low,59.93,0.92,-1.91,0.28,33.15,35.8,34.81,25.1,32.49,14.69,13.71,2.26,0.23,0.22,0.01,58.59,477,619.56,91.46,2.01,-14.03,66.75,21.19,50.94,2024-12-13,Low,Q3_Mid,Large,1.6564479647105315,-0.2790059227309611,1.9354538874414926,993.0401
FND_0028,Franklin Templeton US Financials Fund,FTF28,Franklin Templeton,Mutual Fund,1996-11-18,Sector Equity,Financials,India,7945.79,Low,10.44,8.22,7.22,16.63,18.3,16.44,Low,85.36,1.45,14.9,4.58,4.52,4.88,4.75,10.47,4.43,21.78,12.26,0.21,1.49,0.47,0.55,3.54,579,43.23,84.55,6.61,-5.12,71.65,42.8,72.55,2024-12-13,Low,Q4_High,Small,-0.47735084158423824,0.9140893680787561,-1.3914402096629943,891.1583999999999
FND_0029,Invesco Machinery Index Fund,IM29,Invesco,ETF,1991-07-14,Sector Equity,Machinery,ASEAN,611898.96,High,68.44,76.26,56.72,69.73,45.54,76.0,Medium,26.27,-0.07,2.05,-0.63,-10.33,-11.16,-10.85,-5.56,-10.13,27.32,20.16,-0.38,1.04,0.58,1.34,43.1,460,66.18,96.06,-4.79,-25.81,25.25,0.0,22.33,2024-12-13,High,Q1_Low,Large,-1.5841238864140437,1.84635282521357,-3.4304767116276134,1797.9188
FND_0030,Guggenheim Strategic Chemicals Fund,GC30,Guggenheim,Mutual Fund,1998-05-10,Value,Chemicals,Africa,140326.33,Medium,48.34,32.72,49.29,68.2,41.77,57.76,Medium,45.07,-1.18,-4.25,15.45,19.78,21.36,20.77,6.7,19.38,10.56,29.21,1.87,1.03,0.34,0.6,57.68,92,98.81,99.94,-8.0,-19.23,41.33,8.56,38.31,2024-12-13,Medium,Q3_Mid,Mid,0.6599795735068616,-0.9739965505227988,1.6339761240296604,2178.6838000000002
FND_0031,Vanguard Strategic Electronics Fund,VE31,Vanguard,ETF,1989-06-13,Equity,Electronics,US,243.62,Medium,59.43,66.42,43.01,66.53,51.72,82.42,Medium,24.47,-0.94,1.84,13.17,29.18,31.51,30.64,-6.23,28.59,10.0,2.3,2.92,1.68,0.74,0.33,35.96,293,14.78,92.88,-6.03,-26.43,32.46,0.0,20.8,2024-12-13,Medium,Q1_Low,Small,1.3605631843755601,-1.0682325678505058,2.428795752226066,1454.2521
FND_0032,Guggenheim Strategic Consumer Discretionary Fund,GC32,Guggenheim,ETF,1986-01-07,Sector Equity,Consumer Discretionary,US,91302.49,Medium,36.27,42.73,30.2,33.71,11.33,68.08,Low,41.46,4.42,7.31,7.59,23.07,24.92,24.23,17.48,22.61,26.3,17.59,0.88,1.44,0.78,0.08,14.91,359,58.76,81.71,0.44,-20.49,50.99,5.49,35.24,2024-12-13,Medium,Q3_Mid,Mid,0.905183837310906,1.674708650795247,-0.7695248134843409,1503.7542
FND_0033,Bank of America Active Energy Fund,BOE33,Bank of America,Mutual Fund,1983-07-28,Growth,Energy,Middle East,25890.38,Low,12.71,18.04,15.94,2.37,9.23,21.2,Low,81.35,1.22,3.77,4.71,21.31,23.01,22.37,10.18,20.88,23.51,25.67,0.91,1.17,0.31,0.44,38.34,144,616.3,93.98,2.9,-6.53,69.83,39.4,69.15,2024-12-13,Low,Q4_High,Small,0.7740107357014474,1.2052113501804218,-0.4312006144789744,1033.9585
FND_0034,BlackRock US Industrials Fund,BI34,BlackRock,Mutual Fund,1988-05-25,Growth,Industrials,Latin America,3006371.94,Medium,56.45,62.78,45.68,58.77,39.57,64.17,Medium,38.14,0.44,8.43,7.61,6.91,7.46,7.26,14.32,6.77,22.17,17.27,0.31,1.09,0.87,0.81,0.0,587,17.23,80.94,0.94,-21.65,34.84,2.67,32.42,2024-12-13,Medium,Q2_Mid,Large,-0.2992237320123032,0.9797180230034092,-1.2789417550157123,2153.003
FND_0035,Schwab Machinery Growth Fund,SM35,Schwab,ETF,1996-12-07,Value,Machinery,Australia,22708.61,Medium,64.1,66.33,53.06,72.16,41.05,73.6,Medium,29.25,5.43,7.44,1.84,-1.77,-1.91,-1.86,12.18,-1.74,5.68,19.16,-0.31,0.9,0.47,0.01,21.23,325,76.71,93.77,-2.46,-24.76,28.72,0.0,24.86,2024-12-13,High,Q2_Mid,Small,-0.9461456194953141,-1.7951961300928156,0.8490505105975016,1874.9249999999997
FND_0036,iShares Dimensional Utilities ETF,DU36,Dimensional,Mutual Fund,2004-02-24,Income,Utilities,Japan,85799.5,Low,20.57,27.57,13.53,18.29,16.44,35.44,Low,69.02,0.52,2.31,15.5,12.29,13.28,12.91,6.41,12.05,17.6,14.66,0.7,0.9,0.68,0.49,0.0,420,1824.75,80.68,1.6,-10.84,63.54,28.92,58.67,2024-12-13,Low,Q4_High,Mid,0.10174858995297308,0.21068481016837295,-0.10893622021539988,1419.7413999999999
FND_0037,Guggenheim Global Machinery ETF,GM37,Guggenheim,ETF,2012-01-26,Equity,Machinery,China,4867.17,Medium,61.87,72.85,30.3,78.78,52.38,81.22,Medium,24.59,1.71,3.37,13.46,-9.07,-9.79,-9.52,4.83,-8.88,15.7,47.29,-0.58,1.45,0.12,0.51,64.71,426,226.64,92.32,1.81,-26.39,30.51,0.0,20.9,2024-12-13,Medium,Q1_Low,Small,-1.4902158704890904,-0.10904453433634702,-1.3811713361527433,1521.3833
FND_0038,iShares US Real Estate Fund,IR38,iShares,Mutual Fund,2008-07-18,Value,Real Estate,US,24610.71,Low,15.36,19.27,23.39,2.1,1.44,29.63,Low,74.65,3.46,2.04,5.65,28.33,30.59,29.74,16.75,27.76,13.48,24.82,2.1,0.53,0.86,0.18,29.13,373,105.96,82.49,-1.92,-8.87,67.71,33.71,63.46,2024-12-13,Low,Q4_High,Small,1.2972125387119011,-0.48262303159975606,1.7798355703116573,1146.624
FND_0039,iShares iShares Technology ETF,IT39,iShares,Mutual Fund,2011-01-30,Income,Technology,Europe,1275208.6,Medium,47.72,41.02,43.06,61.33,33.94,72.31,Medium,35.06,-0.66,-0.78,7.15,36.68,39.61,38.51,6.37,35.94,12.81,28.23,2.86,0.81,0.57,0.95,15.73,91,1170.09,94.96,-4.96,-22.73,41.82,0.05,29.8,2024-12-13,Medium,Q2_Mid,Large,1.9195394696431385,-0.5953696951882624,2.514909164831401,1673.0632
FND_0040,Fidelity Sector Energy Fund,FE40,Fidelity,Mutual Fund,2017-04-30,Balanced,Energy,US,523849.88,Low,17.27,14.67,24.35,13.67,3.2,25.84,Low,76.73,2.7,11.31,10.09,-15.2,-16.42,-15.96,6.41,-14.9,21.3,31.51,-0.71,0.71,0.38,0.08,0.0,378,28.16,98.13,1.65,-8.14,66.18,35.47,65.22,2024-12-13,Low,Q4_High,Large,-1.9470858209811246,0.8333156389407216,-2.7804014599218463,1325.1271
FND_0041,JPMorgan Global Financials ETF,JF41,JPMorgan,Mutual Fund,1999-03-11,Growth,Financials,Latin America,34472.13,Low,14.52,9.73,18.87,16.56,12.06,28.53,Low,75.67,1.12,9.73,7.5,32.97,35.61,34.62,12.67,32.31,19.89,23.67,1.66,1.05,0.61,0.58,20.17,553,100.62,92.64,6.69,-8.52,68.38,34.57,64.32,2024-12-13,Low,Q4_High,Small,1.6430325338641096,0.5960428095977454,1.0469897242663642,1098.7284
FND_0042,Goldman Sachs Global Metals & Mining ETF,GSM42,Goldman Sachs,Mutual Fund,1981-11-17,Growth,Metals & Mining,ASEAN,5770.21,High,68.42,64.79,69.3,72.38,57.67,64.47,Medium,34.35,-0.4,4.7,16.96,14.52,15.68,15.25,9.34,14.23,14.88,26.05,0.98,0.87,0.88,0.79,18.0,335,93.26,99.8,-3.4,-22.98,25.26,0.0,29.19,2024-12-13,High,Q2_Mid,Small,0.26795087210586643,-0.24703298828048892,0.5149838603863554,2350.2270000000003
FND_0043,AQR Sector Semiconductors Fund,AS43,AQR,ETF,2000-04-29,Equity,Semiconductors,Emerging Markets,721302.41,Medium,63.76,55.56,70.05,68.42,17.41,81.52,Medium,23.81,-0.73,7.24,12.02,-1.18,-1.27,-1.24,13.54,-1.15,20.25,19.56,-0.06,0.8,0.36,0.68,27.52,113,12.83,99.68,-9.27,-26.67,28.99,0.0,20.24,2024-12-13,High,Q1_Low,Large,-0.9021728183875979,0.6566231064512711,-1.558795924838869,1518.1255999999998
FND_0044,TIAA International Communications,TC44,TIAA,ETF,1994-12-16,Growth,Communications,Japan,2861892.06,Medium,32.71,25.7,26.02,48.77,38.12,31.75,Low,67.96,5.91,1.27,8.3,4.28,4.63,4.5,9.28,4.2,25.76,46.81,0.17,1.18,0.45,0.98,39.14,530,12.02,85.38,-0.93,-11.21,53.83,28.02,57.77,2024-12-13,Medium,Q4_High,Large,-0.4952380827128007,1.5838382055149582,-2.0790762882277587,2222.9716
FND_0045,Vanguard Janus Henderson Index Fund,JHH45,Janus Henderson,Mutual Fund,1980-03-30,Growth,Healthcare,US,19047.79,Medium,36.56,37.21,35.2,37.06,23.75,45.04,Low,57.51,-1.77,0.43,10.01,17.35,18.74,18.22,23.99,17.01,10.53,22.14,1.65,0.87,0.65,0.47,10.49,145,15.17,99.55,-3.06,-14.87,50.75,19.13,48.88,2024-12-13,Medium,Q3_Mid,Small,0.4788712570801662,-0.9790449085939261,1.4579161656740922,2102.5656
FND_0046,PIMCO US Consumer Discretionary Fund,PC46,PIMCO,Mutual Fund,2010-07-10,Sector Equity,Consumer Discretionary,Emerging Markets,6286154.94,Medium,40.05,47.4,30.48,39.82,30.59,63.15,Medium,43.78,-2.89,7.74,17.7,24.67,26.64,25.9,7.96,24.18,22.3,27.35,1.11,1.46,0.48,0.21,73.4,41,101.45,84.94,-0.66,-19.68,47.96,7.46,37.21,2024-12-13,Medium,Q3_Mid,Large,1.0244321115013229,1.0015942413116266,0.022837870189696297,1753.389
FND_0047,Franklin Templeton International Semiconductors,FTS47,Franklin Templeton,Mutual Fund,1998-04-11,Balanced,Semiconductors,Asia-Pacific,282532.53,High,67.62,58.51,63.34,84.05,19.02,71.25,Medium,29.84,-1.25,7.29,26.62,3.18,3.44,3.34,5.91,3.12,13.15,35.45,0.24,0.87,0.5,0.42,42.57,53,8.54,87.42,-5.56,-24.56,25.9,0.0,25.36,2024-12-13,High,Q2_Mid,Mid,-0.5772212712187123,-0.5381549703821548,-0.03906630083655749,2017.7808000000002
FND_0048,iShares Sector Automotive Fund,IA48,iShares,Mutual Fund,1981-01-09,Value,Automotive,Africa,63643.31,High,73.81,75.61,82.55,62.65,65.54,88.51,High,15.9,0.73,-0.31,4.6,-7.84,-8.46,-8.23,1.52,-7.68,11.97,44.85,-0.66,0.83,0.43,0.94,71.5,555,369.74,99.43,-2.78,-29.44,20.96,0.0,13.51,2024-12-13,High,Q1_Low,Small,-1.3985437597052077,-0.7367237211798227,-0.6618200385253851,1173.579
FND_0049,Fidelity Energy Index Fund,FE49,Fidelity,Mutual Fund,2005-12-07,Sector Equity,Energy,Africa,2424650.72,Low,19.27,22.34,34.44,0.0,12.2,14.4,Low,84.14,1.64,5.64,6.81,30.48,32.92,32.0,2.58,29.87,14.23,21.83,2.14,0.97,0.46,0.18,11.0,39,6.47,96.58,-4.65,-5.55,64.59,41.77,71.52,2024-12-13,Low,Q4_High,Large,1.4574524071552735,-0.35641407982157725,1.8138664869768508,1621.3778
FND_0050,American Century Strategic Electronics Fund,ACE50,American Century,ETF,2012-11-28,Growth,Electronics,Emerging Markets,84075.37,Medium,64.74,59.56,71.24,65.16,44.03,62.77,Medium,36.64,1.48,-1.03,-0.17,23.8,25.71,24.99,26.16,23.33,22.57,23.61,1.05,1.55,0.17,0.29,33.73,64,45.1,89.04,5.52,-22.18,28.21,1.39,31.14,2024-12-13,High,Q2_Mid,Mid,0.9595908624102837,1.047029463951771,-0.0874386015414873,2372.0735999999997
