Fund_ID,Fund_Name,Ticker,Asset_Manager,Fund_Type,Inception_Date,Category_Group,Primary_Sector,Geographic_Focus,Fund_Net_Assets_USD_M,Tariff_Risk_Level,Tariff_Risk_Score,Import_Exposure_Pct,Export_Exposure_Pct,China_Exposure_Pct,EU_Exposure_Pct,Supply_Chain_Vulnerability_Score,Retaliatory_Tariff_Risk,Trade_War_Resilience_Score,Return_1M_Pct,Return_3M_Pct,Return_6M_Pct,Return_1Y_Pct,Return_3Y_Annualized_Pct,Return_5Y_Annualized_Pct,Return_YTD_Pct,Return_Since_Inception_Annualized_Pct,Volatility_1Y_Pct,Max_Drawdown_Pct,Sharpe_Ratio,Beta_vs_Market,Portfolio_Concentration_Index,Expense_Ratio_Pct,Portfolio_Turnover_Pct,Number_of_Holdings,Average_Market_Cap_USD_B,Percent_Holdings_Rated,Return_During_Tariff_Episodes_Pct,Drawdown_During_Tariff_Episodes_Pct,Holdings_with_Tariff_Hedges_Pct,Holdings_in_Near_Shoring_Beneficiaries_Pct,Holdings_with_Diversified_Supply_Chain_Pct,Data_As_Of_Date,Tariff_Risk_Category,Resilience_Quartile,AUM_Bucket,Return_1Y_Z,Volatility_1Y_Z,Risk_Return_Score,Tariff_Resilience_Interaction
FND_0049,Fidelity Energy Index Fund,FE49,Fidelity,Mutual Fund,2005-12-07,Sector Equity,Energy,Africa,2424650.72,Low,19.27,22.34,34.44,0.0,12.2,14.4,Low,84.14,1.64,5.64,6.81,30.48,32.92,32.0,2.58,29.87,14.23,21.83,2.14,0.97,0.46,0.18,11.0,39,6.47,96.58,-4.65,-5.55,64.59,41.77,71.52,2024-12-13,Low,Q4_High,Large,1.4574524071552735,-0.35641407982157725,1.8138664869768508,1621.3778
FND_0079,Janus Henderson Sector Financials Fund,JHF79,Janus Henderson,Mutual Fund,2019-08-22,Income,Financials,Asia-Pacific,19928.49,Low,10.46,11.11,20.06,0.0,17.95,19.18,Low,83.44,0.05,5.31,7.26,27.23,29.41,28.59,13.51,26.68,16.81,18.28,1.62,0.72,0.27,0.31,43.11,220,226.66,84.31,7.28,-5.8,71.63,41.17,70.92,2024-12-13,Low,Q4_High,Small,1.2152293502059894,0.0777447142953575,1.1374846359106319,872.7824
FND_0151,Goldman Sachs US Financials Fund,GSF51,Goldman Sachs,Mutual Fund,1981-01-06,Equity,Financials,US,15935.77,Low,11.56,5.89,11.22,19.46,17.29,19.07,Low,83.18,2.62,-1.55,-1.44,18.62,20.11,19.55,15.84,18.25,9.17,9.87,2.03,1.61,0.62,0.01,47.72,556,105.61,82.07,7.06,-5.89,70.75,40.95,70.7,2024-12-13,Low,Q4_High,Small,0.5735245747188095,-1.207903807818357,1.7814283825371664,961.5608000000001
FND_0096,iShares JPMorgan Energy ETF,JE96,JPMorgan,ETF,2004-11-13,Sector Equity,Energy,Australia,131522.12,Low,13.27,13.28,24.4,2.12,5.36,18.36,Low,83.17,1.55,-2.97,17.35,12.89,13.93,13.54,3.78,12.64,29.45,26.1,0.44,0.15,0.79,0.84,37.2,256,29.41,87.4,2.14,-5.89,69.38,40.94,70.69,2024-12-13,Low,Q4_High,Mid,0.14646669277437946,2.2047862482635976,-2.058319555489218,1103.6659
FND_0258,SPDR Sector Energy Fund,SE58,SPDR,ETF,1985-03-22,Equity,Energy,Europe,4587628.29,Low,7.02,2.01,19.98,0.74,7.25,22.0,Low,82.49,6.47,1.95,-4.64,-9.25,-9.99,-9.71,19.48,-9.06,11.99,20.07,-0.77,0.53,0.45,0.81,71.09,244,127.92,85.16,2.8,-6.13,74.38,40.37,70.12,2024-12-13,Low,Q4_High,Large,-1.5036313013355123,-0.7333581491324046,-0.7702731522031077,579.0798
FND_0169,Nuveen International Financials,NF69,Nuveen,ETF,1990-11-12,Value,Financials,India,15587.55,Low,9.37,6.19,12.91,10.06,0.0,21.28,Low,82.29,-0.07,4.04,1.41,37.04,40.01,38.89,24.74,36.3,11.63,18.27,3.18,1.11,0.58,0.71,44.76,141,213.21,82.63,7.31,-6.2,72.5,40.2,69.95,2024-12-13,Low,Q4_High,Small,1.9463703313359824,-0.7939384459859303,2.740308777321913,771.0572999999999
FND_0210,AQR Utilities Index Fund,AU10,AQR,ETF,2008-04-04,Value,Utilities,Latin America,66965.28,Low,11.26,22.5,0.0,7.54,11.08,21.79,Low,81.37,0.58,3.85,6.69,6.31,6.82,6.63,4.37,6.19,19.82,35.38,0.32,1.37,0.47,0.1,55.77,364,36.59,87.51,2.06,-6.52,70.99,39.42,69.17,2024-12-13,Low,Q4_High,Mid,-0.3439418348337095,0.584263307431782,-0.9282051422654916,916.2262000000001
FND_0017,Merrill Lynch Global Real Estate ETF,MLR17,Merrill Lynch,Mutual Fund,1982-07-17,Equity,Real Estate,Australia,33839.19,Low,4.13,2.25,3.29,7.49,16.8,24.86,Low,81.36,-5.15,3.31,12.88,10.24,11.06,10.75,14.74,10.04,9.98,22.19,1.03,0.9,0.28,0.63,68.32,219,41.38,81.66,4.21,-6.53,76.69,39.4,69.15,2024-12-13,Low,Q4_High,Small,-0.05103826135349831,-1.0715981398979237,1.0205598785444254,336.0168
FND_0033,Bank of America Active Energy Fund,BOE33,Bank of America,Mutual Fund,1983-07-28,Growth,Energy,Middle East,25890.38,Low,12.71,18.04,15.94,2.37,9.23,21.2,Low,81.35,1.22,3.77,4.71,21.31,23.01,22.37,10.18,20.88,23.51,25.67,0.91,1.17,0.31,0.44,38.34,144,616.3,93.98,2.9,-6.53,69.83,39.4,69.15,2024-12-13,Low,Q4_High,Small,0.7740107357014474,1.2052113501804218,-0.4312006144789744,1033.9585
FND_0199,Vanguard BlackRock Index Fund,BF99,BlackRock,ETF,1986-10-22,Value,Financials,North America,81846.1,Low,6.36,3.42,6.28,10.35,0.0,23.96,Low,81.32,2.9,8.13,23.49,14.81,15.99,15.55,-12.69,14.51,22.04,33.27,0.67,1.39,0.79,0.44,27.32,377,280.91,86.08,3.36,-6.54,74.91,39.37,69.12,2024-12-13,Low,Q4_High,Mid,0.28956462180287956,0.957841804695191,-0.6682771828923114,517.1952
FND_0052,Vanguard AQR Index Fund,AU52,AQR,ETF,1988-09-08,Income,Utilities,Japan,267488.96,Low,18.46,20.41,16.84,17.5,15.11,18.86,Low,81.26,3.62,5.56,11.05,26.12,28.21,27.43,16.35,25.6,17.82,29.54,1.47,0.98,0.36,0.6,70.34,353,137.86,93.01,3.09,-6.56,65.23,39.32,69.07,2024-12-13,Low,Q4_High,Mid,1.132500859986388,0.24770610268997187,0.8847947572964161,1500.0596000000003
FND_0054,Fidelity Real Estate Value Fund,FR54,Fidelity,Mutual Fund,1980-04-15,Equity,Real Estate,US,31299.58,Low,10.33,0.0,23.63,10.8,10.44,22.6,Low,81.08,-1.47,7.23,-0.88,11.17,12.07,11.73,7.75,10.95,14.87,16.47,0.75,0.99,0.59,0.11,54.27,320,38.13,91.62,-1.38,-6.62,71.74,39.17,68.92,2024-12-13,Low,Q4_High,Small,0.018274798019681408,-0.24871577430419822,0.2669905723238796,837.5563999999999
FND_0068,PIMCO Emerging Markets Financials,PF68,PIMCO,Mutual Fund,2020-11-19,Growth,Financials,India,327095.53,Low,11.03,3.14,20.61,11.98,12.31,22.73,Low,80.78,1.78,4.44,11.42,-1.14,-1.23,-1.2,21.22,-1.12,18.03,13.83,-0.06,1.38,0.78,0.87,5.32,422,476.34,91.08,-1.08,-6.73,71.17,38.91,68.66,2024-12-13,Low,Q4_High,Large,-0.8991916115328374,0.28304460918786206,-1.1822362207206996,891.0033999999999
FND_0013,Invesco Active Financials Fund,IF13,Invesco,ETF,2004-11-17,Income,Financials,China,584828.59,Low,5.74,0.0,11.83,7.28,1.48,25.59,Low,80.36,-0.5,5.74,13.23,17.01,18.37,17.86,-0.34,16.67,3.44,26.2,4.95,1.05,0.61,1.13,40.35,45,101.59,80.53,2.76,-6.87,75.41,38.56,68.31,2024-12-13,Low,Q4_High,Large,0.45353099881470266,-2.172140199403643,2.625671198218346,461.26640000000003
FND_0072,Vanguard US Energy Fund,VE72,Vanguard,Mutual Fund,2003-03-02,Sector Equity,Energy,Middle East,283412.81,Low,10.92,9.59,21.65,1.97,0.0,23.71,Low,80.13,3.28,-0.61,16.45,26.9,29.05,28.24,7.29,26.36,18.13,32.98,1.48,1.14,0.3,0.49,5.59,192,27.41,85.51,0.04,-6.96,71.26,38.36,68.11,2024-12-13,Low,Q4_High,Mid,1.1906343936542159,0.2998724694249522,0.8907619242292637,875.0196
FND_0214,Guggenheim Utilities Growth Fund,GU14,Guggenheim,ETF,1997-01-04,Income,Utilities,US,534929.21,Low,12.39,6.26,20.04,12.92,10.33,24.22,Low,79.33,-1.69,-10.53,7.28,12.28,13.26,12.89,15.79,12.03,16.42,2.98,0.75,0.63,0.77,0.31,69.51,475,180.58,84.92,1.51,-7.23,70.09,37.68,67.43,2024-12-13,Low,Q4_High,Large,0.10100328823928298,0.012116059370705026,0.08888722886857796,982.8987000000001
FND_0166,Merrill Lynch Sector Financials Fund,MLF66,Merrill Lynch,Mutual Fund,1982-02-26,Sector Equity,Financials,Australia,23505.54,Low,8.48,6.14,6.89,13.2,15.33,25.99,Low,79.26,1.15,3.34,3.22,27.78,30.01,29.17,6.84,27.23,6.47,7.2,4.3,0.86,0.75,0.13,46.55,98,7.91,89.17,5.63,-7.26,73.21,37.62,67.37,2024-12-13,Low,Q4_High,Small,1.2562209444589454,-1.6622560342198007,2.918476978678746,672.1248
FND_0108,WisdomTree Real Estate Index Fund,WR8,WisdomTree,ETF,1993-09-06,Equity,Real Estate,India,73124.4,Low,6.02,7.46,10.13,0.0,10.9,27.13,Low,79.2,5.55,3.18,4.33,21.06,22.75,22.11,12.69,20.64,14.9,41.65,1.41,0.15,0.54,0.55,42.15,344,357.63,90.02,3.26,-7.28,75.18,37.57,67.32,2024-12-13,Low,Q4_High,Mid,0.7553781928591948,-0.2436674162330709,0.9990456090922657,476.784
FND_0237,Fidelity Active Financials Fund,FF37,Fidelity,ETF,2006-04-25,Equity,Financials,Emerging Markets,161939.39,Low,6.27,6.36,7.12,5.3,0.0,27.67,Low,78.75,1.34,9.07,10.98,5.07,5.47,5.32,11.85,4.97,14.37,16.51,0.35,1.01,0.12,0.01,53.71,249,53.39,95.66,3.41,-7.44,74.98,37.18,66.93,2024-12-13,Low,Q4_High,Mid,-0.4363592473312824,-0.33285507548965076,-0.10350417184163163,493.7625
FND_0007,American Century Core Financials Fund,ACF7,American Century,ETF,1991-02-13,Sector Equity,Financials,Asia-Pacific,92273.27,Low,11.01,9.1,14.35,10.22,0.0,26.32,Low,78.27,0.19,0.18,2.34,11.83,12.77,12.42,10.13,11.59,11.91,13.12,0.99,1.21,0.66,0.4,45.43,580,31.25,98.49,-0.63,-7.6,71.19,36.78,66.53,2024-12-13,Low,Q4_High,Mid,0.06746471112322833,-0.746820437322077,0.8142851484453053,861.7526999999999
FND_0081,Franklin Templeton Global Utilities ETF,FTU81,Franklin Templeton,ETF,1994-09-18,Sector Equity,Utilities,Australia,55452.8,Low,14.92,16.55,25.88,1.79,26.73,24.96,Low,78.05,-2.18,6.3,1.45,8.14,8.79,8.55,10.83,7.98,14.69,21.14,0.55,0.8,0.16,0.68,68.19,97,19.0,99.78,5.25,-7.68,68.06,36.6,66.35,2024-12-13,Low,Q4_High,Small,-0.20755162122842027,-0.2790059227309611,0.07145430150254081,1164.5059999999999
FND_0010,Invesco Active Energy Fund,IE10,Invesco,ETF,1985-03-10,Balanced,Energy,India,122789.08,Low,7.91,13.17,5.73,3.05,12.62,29.05,Low,77.29,2.59,-1.86,-3.14,12.27,13.25,12.88,2.49,12.02,28.71,6.53,0.43,0.67,0.16,0.01,0.0,595,11.43,93.92,0.07,-7.95,73.67,35.95,65.7,2024-12-13,Low,Q4_High,Mid,0.1002579865255929,2.080260082509128,-1.9800020959835352,611.3639000000001
FND_0008,PIMCO Energy Dividend Fund,PE8,PIMCO,Mutual Fund,2018-10-20,Equity,Energy,Japan,485958.03,Low,14.06,13.02,20.5,9.01,8.82,26.44,Low,77.27,0.64,-5.71,7.05,18.34,19.81,19.26,9.84,17.98,16.65,20.94,1.1,1.32,0.33,0.84,0.0,502,325.18,93.27,1.06,-7.96,68.75,35.93,65.68,2024-12-13,Low,Q4_High,Large,0.5526561267354865,0.05082013791601266,0.5018359888194738,1086.4162
FND_0040,Fidelity Sector Energy Fund,FE40,Fidelity,Mutual Fund,2017-04-30,Balanced,Energy,US,523849.88,Low,17.27,14.67,24.35,13.67,3.2,25.84,Low,76.73,2.7,11.31,10.09,-15.2,-16.42,-15.96,6.41,-14.9,21.3,31.51,-0.71,0.71,0.38,0.08,0.0,378,28.16,98.13,1.65,-8.14,66.18,35.47,65.22,2024-12-13,Low,Q4_High,Large,-1.9470858209811246,0.8333156389407216,-2.7804014599218463,1325.1271
FND_0178,Franklin Templeton Sector Real Estate Fund,FTR78,Franklin Templeton,Mutual Fund,1991-04-29,Balanced,Real Estate,Global,20342.66,Low,9.86,0.0,14.47,18.39,0.0,29.24,Low,76.58,-0.13,-0.55,5.95,8.88,9.59,9.33,7.84,8.7,24.46,23.45,0.36,0.89,0.16,0.85,33.57,456,39.99,81.74,5.48,-8.2,72.11,35.34,65.09,2024-12-13,Low,Q4_High,Small,-0.1523992944153525,1.3650760224327816,-1.517475316848134,755.0787999999999
FND_0205,Vanguard Emerging Markets Real Estate,VR5,Vanguard,Mutual Fund,1998-01-01,Equity,Real Estate,Africa,305072.37,Low,5.88,6.14,5.51,5.92,19.42,31.0,Low,76.54,0.33,0.58,12.95,40.27,43.49,42.28,20.95,39.46,20.94,10.92,1.92,1.28,0.56,0.31,0.0,436,25.12,90.51,5.15,-8.21,75.29,35.31,65.06,2024-12-13,Low,Q4_High,Mid,2.1871027848578866,0.7727353420871959,1.4143674427706907,450.0552
FND_0159,Bank of America Global Fund,BOU59,Bank of America,ETF,2002-07-10,Value,Utilities,ASEAN,406766.68,Low,12.55,21.93,12.59,0.0,23.97,28.41,Low,76.35,-0.03,4.29,-11.49,12.26,13.24,12.87,-13.76,12.01,19.03,10.97,0.64,1.68,0.14,0.01,33.31,152,50.24,84.05,7.65,-8.28,69.96,35.14,64.89,2024-12-13,Low,Q4_High,Large,0.0995126848119028,0.45132321155876715,-0.35181052674686436,958.1925
FND_0189,SPDR Financials Dividend Fund,SF89,SPDR,Mutual Fund,1981-07-26,Growth,Financials,Africa,36919.08,Low,9.14,0.0,21.36,9.09,9.77,29.88,Low,76.34,-0.31,4.32,17.66,2.65,2.86,2.78,-2.86,2.59,12.46,23.32,0.21,1.03,0.78,0.92,52.15,310,14.19,92.58,-3.68,-8.28,72.69,35.14,64.89,2024-12-13,Low,Q4_High,Small,-0.6167222620442877,-0.6542672060180792,0.03754494397379149,697.7476
FND_0227,Franklin Templeton Active Financials Fund,FTF27,Franklin Templeton,ETF,1994-03-21,Growth,Financials,ASEAN,60850.13,Low,9.06,0.0,11.69,18.5,4.99,30.81,Low,75.72,2.49,12.65,12.26,35.86,38.73,37.65,19.7,35.14,17.83,16.13,2.01,1.49,0.42,0.29,35.96,432,54.3,86.55,4.09,-8.5,72.75,34.61,64.36,2024-12-13,Low,Q4_High,Small,1.85842472912055,0.2493888887136806,1.6090358404068694,686.0232
FND_0127,Invesco Global Fund,IU27,Invesco,Mutual Fund,2015-05-12,Value,Utilities,Europe,234828.7,Low,11.2,10.57,0.0,23.25,6.29,29.95,Low,75.68,0.63,6.75,17.51,26.56,28.69,27.89,14.42,26.03,17.8,28.47,1.49,1.08,0.3,1.02,48.9,58,30.36,92.14,0.45,-8.51,71.04,34.58,64.33,2024-12-13,Low,Q4_High,Mid,1.1652941353887525,0.24434053064255384,0.9209536047461986,847.616
FND_0041,JPMorgan Global Financials ETF,JF41,JPMorgan,Mutual Fund,1999-03-11,Growth,Financials,Latin America,34472.13,Low,14.52,9.73,18.87,16.56,12.06,28.53,Low,75.67,1.12,9.73,7.5,32.97,35.61,34.62,12.67,32.31,19.89,23.67,1.66,1.05,0.61,0.58,20.17,553,100.62,92.64,6.69,-8.52,68.38,34.57,64.32,2024-12-13,Low,Q4_High,Small,1.6430325338641096,0.5960428095977454,1.0469897242663642,1098.7284
FND_0251,Dodge & Cox Energy Value Fund,D&E51,Dodge & Cox,ETF,1983-06-13,Balanced,Energy,Europe,1972.71,Low,10.96,17.03,13.84,0.0,1.63,30.47,Low,75.38,3.45,6.1,1.71,6.48,7.0,6.8,9.43,6.35,13.62,52.71,0.48,1.27,0.14,0.01,19.46,48,122.04,95.26,1.46,-8.62,71.23,34.33,64.08,2024-12-13,Low,Q4_High,Small,-0.33127170570097764,-0.4590640272678296,0.12779232156685194,826.1648
